Question,Answer
der Integrationskurs,integration course
intelligent,intelligent
die Intelligenz,intelligence
intensiv,intensiv
der Intensivkurs,intensive course
interessieren,to interest
interessant,interesting
das Interesse,interest
interkulturell,intercultural
international,international
das Internet (Sg.),internet
der Internetanschluss,internet connection
das Internetcafé,internet cafe
das Interview,interview
inzwischen,meanwhile
irgend-/irgendein-,"some, any"
irgendwann,sometime
irren,be wrong
isolieren,isolate
ja,yes
die Jacke,jacket
die Jahreskarte,annual pass
der Jazz (Sg.),jazz
je,"ever, each, every"
je ... desto ...,the ... the
die Jeans (Pl.),jeans
jeder,every
jederzeit,at any time
jedes Mal,every time
jemals,ever
jemand,someone
jetzt,now
jeweils,each time
jobben,"to work, have a job"
der Job,job
joggen,to jog
der Journalist,journalist
die Jugend (Sg.),youth
das Jugendamt,youth welfare office
der Jugendliche,"young person, teenager"
jung,young
der Junge,boy
die Kabine,"cabin, cubicle"
der Kaffee,coffee
der Kalender,calendar
kalt,cold
die Kälte (Sg.),"coldness, cold (weather)"
die Kamera,camera
kämpfen,to fight
der Kampf,"struggle, fight"
der Kanal,canal
die Kanne,pot
die Kantine,cantine
das Kapitel,chapter
kaputt,broken
kaputtgehen,to get broken
kaputtmachen,to break
die Karriere,career
die Karte,"card, menu, ticket, map"
die Kartoffel,potato
der Käse,cheese
die Kasse,"till, cash register"
der Kasten,"case, box, crate"
der Katalog,catalogue
die Katastrophe,catastrophe
die Katze,cat
(sich etwas) kaufen,to buy
der Kauf,buy
der Käufer,buyer
das Kaufhaus,"department store, shopping center"
kaum,"hardly, scarcely"
kein,"no, not"
der Keller,cellar
der Kellner,waiter
kennen,to know
die Kenntnisse (Pl.),knowledge
kennenlernen,"to get to know, meet"
das Kennzeichen,number plate
die Kerze,candle
die Kette,chain
das Kind,child
der Kindergarten,Nursery school
der Kinderwagen,stroller
die Kindheit,childhood
die Kindertagesstätte,day care center
das Kino,cinema
der Kiosk,kiosk
die Kirche,church
das Kissen,pillow
klappen,to work (well)
klar,clear
klären,to clarrify
die Klasse,class
die Klassenarbeit,classwork
klasse,"class, great"
das Klavier,piano
kleben,to stick
das Kleid,dress
die Kleidung (Pl.),clothers
klein,small
klicken,to click
der Klick,click
das Klima,climate
die Klimaanlage,air conditioner
klingeln,to ring
die Klingel,door bell
klingen,sound
die Klinik,clinic
klopfen,to knock
der Kloß,dumpling
knapp,"tight, scarce, short, just"
die Kneipe,pub
das Knie,knee
der Knochen,bones
der Knopf,button
der Koch,cook
kochen,to cook
der Koffer,suitcase
der Kofferraum,trunk
der Kollege,colleague
komisch,"strange, funny, odd"
kommen,to come
die Kommunikation,communication
komplett,completely
kompliziert,complicated
der Kompromiss,compromise
der König,king
die Konkurrenz,competition
können,to be able to
das Konsulat,consulate
der Kontakt,contact
das Konto,account
das Girokonto,current account
kontrollieren,to control
die Kontrolle,control
konzentrieren,to concentrate
das Konzert,concert
der Kopf,head
kopieren,to copy
die Kopie,copy
der Körper,body
körperlich,physical
korrekt,correct
korrigieren,to correct
die Kosmetik (Sg.),cosmetics
kosten,"to cost, taste"
die Kosten (Pl.),costs
kostenlos,free
das Kostüm,"costume, suit"
die Kraft,strength
kräftig,strong
das Kraftfahrzeug,motor vehicle
krank,ill
krankschreiben,sick leave
krankmelden,report sick
der Kranke,"sick-person, invalid"
das Krankenhaus,hospital
die Krankenkasse,health insurance
der Krankenpfleger,male nurse
die Krankenschwester,female nurse
der Krankenwagen,ambulance
die Krankheit,illness
der Kredit,"credit, loan"
die Kreditkarte,credit card
der Kreis,circle
das Kreuz,cross
die Kreuzung,"crossing, junction"
kriegen,"to get, receive"
die Kriminalpolizei,Criminal Investigation Department
der Krimi,"thriller, crime film or TV programme"
kritisieren,to criticise
die Kritik,criticism
kritisch,critical
die Küche,kitchen
der Kuchen,cake
der Kugelschreiber,"ball-point pen, biro"
der Kuli,Biro
die Kuh,cow
kühl,cool
der Kühlschrank,fridge
die Kultur,culture
kulturell,cultural
kümmernümmertümmerteümmert,to look after
der Kunde,customer
kündigenündigtündigteündigt,to give one's notice
die Kündigung,notice
die Kunst,art
der Künstler,artist
künstlich,artificial
der Kunststoff,artificial material
der Kurs,course
der Kursleiter / -in,course leader
die Kurve,curve
kurz,short
küssenüsstüssteüsst,to kiss
der Kuss,kiss
die Küste,coast
das Labor,laboratory
lächeln,to smile
lachen,to laugh
der Laden,shop
die Lage,"position, situation, place"
das Lager,camp
die Lampe,lamp
das Land,"land, country, state"
landen,to land
die Landung,landing
die Landwirtschaft,agriculture
lang,long
die Länge,length
lang(e),long
längst,long (time) ago
langsam,slow
langweilig,boring
der Lärm (Sg.),noise
lassen,"to leave, allow, stop, have something done"
der Laster,"lorry, truck"
laufen,to run
das Laufwerk,"(computer) drive, running gear"
die Laune,mood
laut,loud
der Lautsprecher,loud speaker
leben,to live
das Leben,life
der Lebenslauf,"curriculum vitae, CV"
die Lebensmittel (Pl.),food
das Leder,leather
ledig,single
leer,empty
legen,"to lay, put, place, lie down"
die Lehre,apprenticeship
der Lehrer,teacher
der Lehrling,"apprentice, trainee"
leicht,light
leidtun,"to hurt, to be sorry"
leiden,to suffer
leider,unfortunately
leihen,to lend
leise,quiet
leisten,"to supply, afford"
die Leistung,"performance, achievement"
leiten,"to lead, manage, direct"
der Leiter,"leader, head"
die Leitung,management
die Leiter,ladder
lernen,to learn
lesen,to read
letzt,last
die Leute (Pl.),people
das Licht,light
lieben,to love
lieb,"dear, sweet, nice"
die Liebe,love
Lieblings-,favourite-
das Lied,song
liefern,to deliver
die Lieferung,delivery
liegen,to lie (place/ location)
der Lift,lift
die Limonade,lemonade
die Linie,line
links,left
link-,left
die Lippe,lip
die Liste,list
der LKW,truck (short for der Lastkraftwagen)
loben,to praise
das Loch,hole
locker,"loose, relaxed"
der Löffel,spoon
der Lohn,salary
sich lohnen,"be worth it, to be profitable"
das Lokal,pub
los,"go on, the matter"
losfahren,to leave
löschen,"to put out, erase, cancel"
lösen,to solve
die Lösung,solution
die Luft,air
lügenügt,to lie
die Lüge,lie
die Lust,desire
lustig,funny
machen,"to make, do"
das Mädchen,girl
der Magen,stomach
mager,lean
die Mahlzeit,meal
die Mahnung,"warning, reminder"
der Makler,estate agents
mal,"times, once"
das Mal,time
malen,to draw
der Maler,painter
die Mama,mum
man,one
manch-,some
manchmal,sometimes
der Mann,man
männlich,male
die Mannschaft,team
der Mantel,"coat, jacket"
das Märchen,fairytale
die Margarine,margarine
die Marke,"mark, brand, stamp"
markieren,to mark
der Markt,market
die Marmelade,jam
die Maschine,machine
die Maßnahme,measure
das Material,material
die Mathematik (Sg.),mathematics
die Mauer,wall
die Maus,mouse
maximal,maximum
der Mechaniker,mechanic
das Medikament,medicine
die Medizin (Sg.),medicine
das Meer,sea
das Mehl,flour
mehrere,several
die Mehrheit,majority
die Mehrwertsteuer (Sg.),"value added tax, VAT"
meinen,"to mean, think"
die Meinung,opnion
meinetwegen,"on my account, as far as I'm concerned"
meist-,most
meistens (meist),mostly
der Meister,"master, champion"
melden,"to report, register, put one's hand up, volunteer"
die Meldung,"announcement, report"
die Menge,"quantity, lot (of)"
der Mensch,"human being, person"
menschlich,"human, humane"
merken,to notice
merkwürdig,odd
die Messe,"fair, show"
messen,to measure
das Messer,knife
das Metall,metal
die Methode,method
die Metzgerei,butcher's shop
mieten,to rent
die Miete,"rental fee, rent"
der Mieter,tenant
der Migrant,migrant
die Migration,migration
der Migrationshintergrund,immigrant background
die Milch (Sg.),milk
mild,mild
die Minderheit,minority
mindestens,at least
das Mineralwasser,mineral water
mischen,to mix
missverstehen,misunderstand
das Missverständnis,misunderstanding
mit,with
der Mitarbeiter,employee
miteinander,"together, with one another"
das Mitglied,member
die Mitte,middle
mitteilen,to take part
das Mittel,"medium, remedy"
mitten,in the middle of
mittler-,middle
die Möbel,furniture
möbliert,furnished
das Mobiltelefon,mobile telephone
die Mode,fashion
das Modell,model
modern,modern
mögen,to like
möglich,possible
die Möglichkeit,possibility
möglichst,as...as possible
der Moment,moment
der Mond,moon
der Monitor,monitor
der Motor,motor
das Motorrad,motorbike
müde,tired
die Mühe,effort
der Müll (Sg.),"rubbish, trash"
die Müllabfuhr,"garbage/ rubbish collection, collectors"
der Mülleimer,"trashcan, waste basket"
die Mülltonne,dustbin
der Sperrmüll (Sg.),bulky waste
der Mund,mouth
mündlich,oral
die Münze,coin
das Museum,museum
die Musik,music
der Musiker,muscician
der Muskel,muscle
müssen…,to have to
der Mut (Sg.),courage
mutig,brave
die Mutter,mother
nach,"to, after, according to"
der Nachbar,neighbours
nachdem,after
nachdenken,to reflect
nachher,later
nachholen,catch up
die Nachricht,news
nachschlagen,to look up
die Nachspeise,dessert
der Nachteil,disadvantage
der Nachtisch,dessert
die Nadel,needle
der Nagel,nail
nah(e),near
die Nähe (Sg.),"near, proximity, vicinity"
nächst,next
nähen,to sew
naja,well
der Name,name
der Familienname,family name
der Mädchenname,maiden name
der Vorname,first name
nämlich,namely
die Nase,nose
nass,wet
die Natur,nature
natürlich,naturally
der Nebel (Sg.),fog
neblig,foggy
neben,next to
nebenan,next door
nebenbei,at the same time
der Neffe,nephew
negativ,negative
nehmen,to take
nein,no
nennen,"to name, call"
der Nerv,nerve
nervös,nervous
nett,nice
netto,"net, after tax"
neu,new
neugierig,curious
neulich,"recently, the other day"
nicht,"not, don't"
die Nichte,niece
der Nichtraucher,non-smoker
nichts,nothing
nie,never
niedrig,low
niemand,no one
nirgends,nowhere
nirgendwo,nowhere
noch,"still, yet"
nochmal,again
nochmals,again
normal,normal
normalerweise,normally
der Norden/Nord/Nord (Sg.),north
nördlich,northern
die Not,"distress, need"
die Notaufnahme,casualty department
der Notausgang,emergency exit
der Notfall,emergency
der Notruf,emergency call
notwendig,important
die Note,marks
notieren,note
die Notiz,note
nötig,necessary
die Nudel,noodle
die Nummer,number
nun,now
nur,"just, only"
nutzen,to be of use
nützenütztützteützt,to use
nützlich,useful
ob,whether
oben,"above, upstairs"
ober-,top
das Obst (Sg.),fruit
obwohl,although
oder,or
der Ofen,oven
offen,open
öffentlich,public
offiziell,official
öffnen,to open
oft/öfter,often
das Obergeschoss,"upstairs, upper floor"
ohne,without
das Ohr,ear
okay,ok
Öko- (ökologisch),ecologically
das Öl,oil
die Oma,grandma
der Onkel,uncle
online,online
der Opa,granddad
die Oper,opera
operieren,to operate
die Operation,operation
das Opfer,victim
optimistisch,optimistic
die Orange,orange
das Orchester,orchestra
ordentlich,"decent, respectable, tidy, neat"
ordnen,"to order, put in order"
der Ordner,folder
die Ordnung,"order, tidiness"
organisieren,to organise
die Organisation,organisation
das Original,original
der Ort,place
der Vorort,suburbs
der Wohnort,domicile
örtlich,locally
der Osten/Ost/Ost (Sg.),east
ein paar,a few
das Paar,couple
das Päckchen,parcel
packen,to pack
das Paket,"packet, parcel"
die Panne,breakdown
der Papa,father
das Papier,paper
parallel,parallel
das Parfüm,perfume
der Park,park
parken,to park
das Parkhaus,car park
der Parkplatz,parking spot
die Parkuhr,parking meter
der Partner,partner
die Party,party
der Pass,passport
der Passagier,passenger
passen,to fit
passieren,to happen
passiv,passive
der Patient,patient
die Pause,"break, pause"
das Pech (Sg.),bad luck
die Pension,pension (small hotel)
pensioniert,retired
per,"by, per"
perfekt,perfect
die Person,person
persönlich,personal
das Personal (Sg.),personnel
der Pfeffer,pepper
das Pferd,horse
die Pflanze,plant
das Pflaster,plaster
die Pflaume,plum
pflegen,"to look after, nurse, foster"
der Pfleger,"carer, nurse, orderly"
die Pflegeversicherung,care insurance
die Pflicht,"duty, compulsory"
die Phantasie,phantasy
die Philosophie,philosophy
die Physik (Sg.),physics
das Picknick,picnic
die Pille,pill
der Pilz,mushroom
der PKW,car
planen,to plan
der Plan,"plan, map"
das Plastik (Sg.),plastic
der Platz,"place, square"
plötzlich,suddenly
die Politik (Sg.),politics
der Politiker,politician
politisch,political
die Polizei,police
der Polizist,policeman
die Pommes frites (Pl.),french fries
die Portion,portion
positiv,positive
die Post (Sg.),post
das Postfach,post box
die Postkarte,postcard
die Postleitzahl,postcode
das Praktikum,"practical training, internship"
der Praktikant,"trainee, intern"
praktisch,practical
präsentieren,to present
die Praxis,practice
der Preis,price
preiswert,"inexpensive, cheap"
prima,greay
privat,private
pro,per
probieren,to try
das Problem,problem
produzieren,to produce
das Produkt,product
die Produktion,production
der Professor,professor
der Profi,professional
das Programm,programme
das Projekt,project
der Prospekt,"leaflet, brochure"
Prost,cheers
protestieren,to protest
der Protest,protest
der Prozess,"trial, case, process"
prüfenüftüfteüft,"to check, examine"
die Prüfung,"exam, test"
das Publikum (Sg.),public
der Pullover,"jumper, pullover"
der Punkt,point
pünktlich,"on time, punctual"
die Puppe,doll
putzen,to clean
die Qualifikation,qualification
die Qualität,quality
der Quark (Sg.),"quark, curd cheese"
das Quartal,quarter
der Quatsch (Sg.),nonsense
quer,"crossways, diagonally"
die Querstraße,crossroad
die Quittung,receipt
der Rabatt,discount
das Rad,"wheel, bike"
Rad fahren,to go biking
der Radfahrer,cyclist
das Radio,radio
der Rand,edge
rasieren,to shave
raten,"to guess, to advise"
der Rat (Sg.),advice
der Ratschlag,piece of advice
das Rathaus,town hall
rauchen,to smoke
der Raucher,smoker
der Raum,room
reagieren,to react
die Reaktion,reaction
die Realität,reality
realistisch,realistic
rechnen,"to calculate, estimate, reckon"
der Rechner,calculator
die Rechnung,bill
das Recht,right
rechtlich,legally
der Rechtsanwalt,Lawyer
recht,right
rechts,to the right
recht-,right
rechtzeitig,on time
reden,"to talk, speak"
die Rede,"speech, talk"
reduzieren,to reduce
die Reform,reform
das Regal,shelf
die Regel,rule
regelmäßig,regularly
regeln,"to regulate, control"
regnen,to rain
der Regen,rain
die Region,region
regional,regional
reich,rich
reichen,"to be enough/ sufficient, reach"
reif,ripe
der Reifen,tyre
die Reihe,row
rein,"pure, clear"
reinigen,to clean
die Reinigung,cleaning
der Reis (Sg.),rice
reisen,to travel
die Reise,"journey, voyage"
das Reisebüro,travel agency
reiten,to ride
der Rekord,record
relativ,relative
rennen,to run
renovieren,renovate
die Rente,pension
der Rentner,pensioner
reparieren,to repair
die Reparatur,repair
reservieren,to reserve
die Reservierung,reservation
der Rest,rest
das Restaurant,restaurant
retten,to rescue
das Rezept,recipe
die Rezeption,reception
der Rhythmus,rhythm
der Richter,judge
richtig,right
die Richtung,direction
riechen,to smell
riesig,enormous
das Rind,"ox, cow, beef"
der Ring,ring
das Risiko,risk
der Rock,skirt
roh,raw
der Roman,novel
die Rose,rose
rot,red
die Rückfahrt,return journey
die Rückkehr (Sg.),return
der Rücken,back
rücken,move
der Rucksack,rucksack
die Rücksicht,consideration
rückwärts,backwards
rufen,to call
die Ruhe (Sg.),"rest, peace, quiet"
ruhig,quiet
rührenührtührteührt,stir
rund,"round, around"
der Rundfunk (Sg.),broadcast
der Saal,"hall, room"
die Sache,"thing, affair"
der Sack,sack
der Saft,jui''''ce
sagen,to say
die Sahne (Sg.),cream
die Saison,season
der Salon,salon
der Salat,salad
die Salbe,ointment
das Salz,salt
sammeln,to collect
sämtlich,all
der Sand,sand
der Sänger,singer
satt,full
der Satz,sentence
sauber,clean
sauer,sour
die Schachtel,"box, bag"
schade,"a pity, shame"
schaden,"to hurt, damage"
der Schaden,damage
schaffen,"to make, manage, do, finish"
schalten,"to switch, turn"
der Schalter,switch
scharf,"spicy, hot"
der Schatten,"shade, shadow"
schätzen,"to estimate, value"
schauen,to show
das Schaufenster,shop (show) window
der Schauspieler,actor
die Scheibe,"slice, pane (of glass)"
sich scheiden lassen,get divorced
geschieden sein,be divorced
die Scheidung,divorce
der Schein,note
scheinen,to shine
schenken,to give a present
die Schere,scissors
die Schicht,layer
schick,fancy
schicken,to send
schieben,to push
schief,"crooked, leaning, sloping"
schießen,"to shoot, kick"
das Schiff,ship
das Schild,sign
schimpfen,"to grumble, complain, tell off"
der Schinken,hm
der Schirm,umrella
schlafen,sleep
der Schlaf (Sg.),sleep
schlagen,"to strike, hit"
die Schlange,snake
schlank,slim
schlecht,bhd
schließen,"to close, shut"
schließlich,finally
das Schloss,"lock, padlock, castle"
der Schluss,end
der Schlüssel,key
schlimm,bad
schmal,narrow
schmecken,to taste
der Schmerz,pain
das Schmerzmittel,painkiller
der Schmuck,jewellery
schmutzig,dirty
der Schnee (Sg.),snow
schneien,to snow
schneiden,to cut
schnell,fast
das Schnitzel,schnitzel
der Schnupfen,cold
die Schokolade,chocolate
schon,"already, just"
schön,beautiful
der Schrank,cupboard
der Schreck/Schrecken,"scare, fright"
schrecklich,"terrible, dreadful"
schreiben,to write
aufschreiben,to write down
das Schreiben,"letter, communication"
der Schreibtisch,writing desk
schreien,to scream
die Schrift,handwriting
schriftlich,written
der Schritt,"step, walk"
der Schuh,schoe
die Schuld,fault
schuld sein,be to blame
schuldig,guilty
die Schule,school
der Schülerülerin,student
die Schulter,shoulder
schützenütztützteützt,to protect
der Schutz (Sg.),protection
schwach,weak
schwanger,pregnant
die Schwangerschaft,pregnancy
schwarz,black
das Schwein,pig
schwer,heavy
die Schwester,sister
Schwieger,in-laws
schwierig,difficult
die Schwierigkeit,difficulty
schwimmen,to swim
das Schwimmbad,swimming pool
schwitzen,to sweat
der See,lake
sehen,to see
die Sehenswürdigkeit,sight
sehr,very
die Seife,soap
sein,to be
seit,since
seitdem,since (then)
die Seite,page
die Sekretärin,secretary
selb-,the same
selbst,self
selbstständig,"self employed, independent"
selbstverständlich,"of course, obviously"
selten,seldom
das Semester,semester
senden,to send
der Sender,(radio) Station
die Sendung,"consignment, programme, transmission"
die Senioren (Pl.),"seniors, old people"
senkrecht,vertical
die Serie,series
der Service (Sg.),service
der Sessel,chair
setzen,to place
sicher,sure
die Sicherheit,security
sichern,to secure
sichtbar,visible
der Sieg,"win, victory"
der Sieger,winner
singen,to sing
sinken,to sink
der Sinn,sense
die Situation,situation
sitzen,to sit
der Sitz,seat
der Ski,ski
die SMS,SMS
so,"so, like this"
sobald,as soon as
die Socke,sock
sodass,so that
das Sofa,sofa
sofort,immediately
die Software,software
sogar,even
der Sohn,son
solange,as long as
solch,"such, these"
sollen,to be supposed to
das Sonderangebot,special offer
sondern,but (rather)
die Sonne,sun
sonst,"otherwise, other, usually, normally"
sonstig,other
sorgen,to worry
die Sorge,worry
die Soße,sauce
das Souvenir,souvenir
soviel,as fas as
so viel/so viel wie,so much
sowieso,anyway
sowohl ... als auch,as well ... as
das Sozialamt,social security office
der Sozialarbeiter,social worker
die Sozialhilfe,social care
spannend,exciting
sparen,to save
sparsam,"economical, thrifty"
der Spaß,fun
spät,late
spätestens,at the latest
spazieren gehen,to go for a walk
der Spaziergang,stroll
speichern,"to save, store (data)"
die Speisekarte,menu
der Speisewagen,dining car
die Vorspeise,starter
die Spezialpflege,special care
der Spezialist,specialist
speziell,special
der Spiegel,mirror
spielen,to play
das Spiel,game
der Spieler,player
der Spielplatz,playground
das Spielzeug,toy
spitz,"sharp, pointed"
der Sport,sport
die Sportart,type of sport
der Sportler,sportsman
sportlich,"sporting, sporty, athletic"
die Sprache,language
die Muttersprache,mother tongue
sprechen,"to speak, talk"
die Sprechstunde,"consultation (hour), surgery"
springen,to jump
die Spritze,injection
spülenültülteült,"to rinse, flush"
die Spülmaschine,dishwasher
die Spur,"track, trace"
spürenürtürteürt,to feel
der Staat,state
staatlich,stately
die Staatsangehörigkeit,nationality
das Stadion,stadium
die Stadt,city
städtisch,municipal
der Stadtplan,town map
stammen,to come from
das Standesamt,registry office
ständig,"permanent, constant"
der Standpunkt,stand point
der Star,star
stark,strong
starten,to start
der Start,start
die Station,station
statt,instead of
stattfinden,to take place
der Stau,traffic jam
der Staub,dust
das Steak,steak
stecken,"to put, insert, stick"
die Steckdose,socket
der Stecker,plug
stehen,to stand
stehen bleiben,to stay
stehlen,to steal
steigen,"to rise, climb"
steil,steep
der Stein,stone
die Stelle,"place, post, job"
stellen,"to put, set"
der Stempel,"stamp, postmark"
sterben,to die
der Stern,star
die Steuer,tax
still,"still, quiet"
der Stiefel,boots
die Stimme,voice
stimmen,"to be right, vote"
die Stimmung,"atmosphere, mood"
die Stirn,forehead
stinken,to stink
der Stock,floor (of building)
das Stockwerk,storey
der Stoff,"material, cloth"
stolz,proud
stoppen,to stop
stören,to disturb
die Störung,"disturbance, interference"
stoßen,"to shove, push, knock, bump"
die Strafe,fine
der Strafzettel,ticket (parking)
der Strand,beach
die Straße,street
die Strecke,"stretch, distance"
streichen,"to brush, to paint, to cancle"
das Streichholz,matches
streiken,to strike
der Streik,strike
streiten,to argue
der Streit,argument
streng,strict
der Stress,stress
der Strom,current (electricity)
der Strumpf,tights
das Stückück,piece
studieren,to study
der Student,student
das Studium,studies
das Studio,studio
die Stufe,step
der Stuhl,chair
stumm,"silent, dumb"
die Stunde,hour
der Sturm,storm
stürzenürztürzteürzt,to fall
suchen,"to search for, look for"
der Süden/Süd/Süd (Sg.),south
südlich,"southern, south"
der Supermarkt,supermarket
die Suppe,soup
süß,sweet
das Symbol,symbol
sympathisch,likeable
das System,system
die Tabelle,table
die Tablette,pill
die Tafel,"table, blackboard"
der Tagesablauf,daily routine
die Tagesmutter,nanny
das Tal,valley
tanken,to fill fuel/ gas
die Tankstelle,fuel station
die Tante,aunt
tanzen,to dance
der Tanz,dance
der Tarif,tariff
die Tasche,"pocket, handbag"
das Taschentuch,handkerchief
die Tasse,cup
die Taste,key (on a keyboard)
die Tastatur,keyboard
die Tat,"act, deed, action"
der Täter,"perpetrator, culprit"
die Tätigkeit,activity
täuschen,deceive
das Taxi,taxi
das Team,team
die Technik,"technology, technique"
technisch,technical
der Tee,tea
der Teil,part
die Teilzeit,part-time
teilen,to share
teilnehmen,to take part
die Teilnahme,participation
der Teilnehmer,participant
teilweise,partially
telefonieren,to telephne
das Telefon,telephone
der Teller,plate
die Temperatur,temperature
das Tempo (Sg.),speed
das Tennis (Sg.),tennis
der Teppich,carpet
der Termin,appointment
die Terrasse,terrace
testen,test
der Test,test
teuer,expensive
der Text,text
das Theater,theatre
das Thema,"subject, theme"
theoretisch,theoretical
die Therapie,therapy
das Ticket,ticket
tief,deep
das Tier,animal
das Haustier,"pet, domestic animal"
der Tierpark,"zoo, animal park"
der Tipp,tip
der Tisch,table
der Titel,title
die Tochter,daughter
der Tod,death
tödlich,deathly
die Toilette,toilet
tolerant,tolerant
toll,great
die Tomate,tomato
die Tonne,ton
das Top,top
der Topf,pot
das Tor,"gate, goal"
tot,dead
der Tote,dead
total,"totally, completely"
die Tour,tour
der Tourismus (Sg.),tourism
der Tourist,tourist
die Tradition,tradition
traditionell,traditional
tragen,"to carry, wear"
trainieren,to train
der Trainer,"trainer, coach"
das Training,training
transportieren,transport
der Transport,transport
die Trauung,wedding
träumen,to dream
der Traum,dream
traurig,sad
treffen,to meet
der Treffpunkt,meeting point
treiben,to play sport
trennen,to seperate
die Trennung,seperation
die Treppe,"stairs, steps"
treten,"to step, kick"
treu,TRUE
trinken,to drink
das Trinkgeld,tip
trocknen,to dry
trocken,dry
der Tropfen,drop
trotz,despite
trotzdem,"nevertheless, although"
das T-Shirt,t-shirt
tun,"to do, make"
die Tür,door
der Turm,tower
die Tüte,bag
der Typ,type
typisch,typical
U-Bahn,underground train
üben,to practise
die Übung,practise
über,"over, above, via"
überall,everywhere
überfahrenüberfährtüberfuhrüberfahren,to run over
überhaupt,at all
überholenüberholtüberholteüberholt,to overtake
überlegenüberlegtüberlegteüberlegt,to consider
übermorgen,the day after tomorrow
übernachtenübernachtetübernachteteübernachtet,to sleep/ stay overnight
die Übernachtung,"sleep over, stay"
übernehmenübernimmtübernahmübernommen,to take over
überprüfenüberprüftüberprüfteüberprüft,"to check, examine"
überquerenüberquertüberquerteüberquert,to cross over
überraschenüberraschtüberraschteüberrascht,to surprise
"die Überraschung,-en",surprise
überredenüberredetüberredeteüberredet,to persuade
übersetzenübersetztübersetzteübersetzt,to translate
der Übersetzer,translator
die Übersetzung,translation
die Überstunde,overtime
übertragenüberträgtübertrugübertragen,"to transfer, apply"
übertreibenübertreibtübertriebübertrieben,to do too much sport
überweisenüberweistüberwiesüberwiesen,"to transfer, refer"
die Überweisung,"transfer, referral"
überzeugenüberzeugtüberzeugteüberzeugt,to convince
die Überzeugung,conviction
üblich,"usual, common"
übrig,"left over, remaining"
übrigens,"besides, by the way"
die Uhr,"hour, time, watch"
um,"at, around, by"
umarmen,to embrace
um ... zu,in order to
umdrehen,to turn (round)
die Umfrage,poll
die Umgebung,surrounding
umgekehrt,"reverse, opposite, the other way around"
die Umleitung,diversion
umso,so much the...
umsonst,"in vain, for nothing"
umsteigen,"to change (train, etc)"
umtauschen,to exchange
die Umwelt,environment
umziehen,to move (house)
der Umzug,"move, removal"
unbedingt,absolutely
unfreundlich,unfriendly
und,and
der Unfall,accident
ungefähr,"approximately, roughly"
ungewöhnlich,unusual
unglaublich,unbelievable
